fold,roc_auc_convnext_tiny,roc_auc_resnet50,delta_resnet50_menos_convnext_tiny_roc_auc,pr_auc_precisao_media_convnext_tiny,pr_auc_precisao_media_resnet50,delta_resnet50_menos_convnext_tiny_pr_auc_precisao_media,acuracia_balanceada_convnext_tiny,acuracia_balanceada_resnet50,delta_resnet50_menos_convnext_tiny_acuracia_balanceada,sensibilidade_anormal_convnext_tiny,sensibilidade_anormal_resnet50,delta_resnet50_menos_convnext_tiny_sensibilidade_anormal,especificidade_normal_convnext_tiny,especificidade_normal_resnet50,delta_resnet50_menos_convnext_tiny_especificidade_normal,f1_anormal_convnext_tiny,f1_anormal_resnet50,delta_resnet50_menos_convnext_tiny_f1_anormal,mcc_convnext_tiny,mcc_resnet50,delta_resnet50_menos_convnext_tiny_mcc,kappa_cohen_convnext_tiny,kappa_cohen_resnet50,delta_resnet50_menos_convnext_tiny_kappa_cohen,brier_score_convnext_tiny,brier_score_resnet50,delta_resnet50_menos_convnext_tiny_brier_score
1,0.9709183195377168,0.9789052006871778,0.007986881149461,0.963725037825978,0.9690337798157944,0.005308741989816457,0.896682024051226,0.9300858972356708,0.03340387318444482,0.8252631578947368,0.9284210526315788,0.103157894736842,0.9681008902077152,0.9317507418397626,-0.036350148367952584,0.8823860438942037,0.9168399168399168,0.034453872945713115,0.8139920696939391,0.8571729854894578,0.04318091579551864,0.8088236581927088,0.8569757020513842,0.04815204385867533,0.0771204680204391,0.053500011563301,-0.023620456457138103
2,0.9737763966327252,0.9625422338399076,-0.011234162792817637,0.9661641238501028,0.953164021286438,-0.013000102563664795,0.9116391596334869,0.9190462065630652,0.007407046929578387,0.9433962264150944,0.90146750524109,-0.04192872117400437,0.8798820928518791,0.9366249078850404,0.056742815033161254,0.8924144769459593,0.9052631578947368,0.012848680948777447,0.8132739559895611,0.8391587483079443,0.025884792318383254,0.8095437933403542,0.8391373013675534,0.029593508027199178,0.07025096565485,0.0621848925948143,-0.008066073060035706
3,0.9616412868938145,0.9566946560067005,-0.004946630887114001,0.9410647310137726,0.9199893126178934,-0.02107541839587923,0.9008114291344704,0.9038528450440548,0.0030414159095843996,0.92534174553102,0.928496319663512,0.003154574132491983,0.876281112737921,0.8792093704245973,0.002928257686676372,0.88,0.8834417208604303,0.003441720860430264,0.7922063694578748,0.7982837672262612,0.006077397768386339,0.7892680087403299,0.7953821785810801,0.006114169840750194,0.0766969248652458,0.0786114409565925,0.001914516091346699
4,0.9777238105578734,0.96810071231002,-0.009623098247853346,0.9733982295988444,0.9601707564254832,-0.013227473173361148,0.9262689999461022,0.90478682644366,-0.021482173502442192,0.9251844046364596,0.8977871443624869,-0.027397260273972712,0.927353595255745,0.9117865085248332,-0.015567086730911783,0.9122077922077922,0.8875,-0.02470779220779229,0.8492043113868124,0.8069569577534174,-0.042247353633395046,0.8489570247689602,0.8068007108822117,-0.04215631388674845,0.0579284839332103,0.0699454545974731,0.012016970664262806
5,0.9704342820268198,0.9676743198167144,-0.0027599622101054377,0.9591858640340616,0.954059347368456,-0.005126516665605596,0.9103139950278898,0.894961270000441,-0.015352725027448777,0.8780231335436383,0.8443743427970557,-0.03364879074658256,0.9426048565121412,0.9455481972038264,0.0029433406916852256,0.8959227467811158,0.8785557986870897,-0.01736694809402617,0.8260621452781225,0.8010536457289213,-0.025008499549201146,0.82557990187264,0.7992582867315998,-0.026321615141040144,0.0676186457276344,0.0713898092508316,0.003771163523197202
