limiar,acuracia,acuracia_balanceada,sensibilidade_anormal,especificidade_normal,f1_anormal,mcc,kappa_cohen,roc_auc,pr_auc_precisao_media,brier_score,verdadeiros_normais,falsos_anormais,falsos_normais,verdadeiros_anormais,fold,modelo,arquitetura
0.5,0.9303742384682332,0.9300858972356707,0.9284210526315789,0.9317507418397626,0.9168399168399168,0.8571729854894578,0.8569757020513842,0.9789052006871778,0.9690337798157945,0.053500011563301086,1256,92,68,882,1,ResNet-50,resnet50
0.5,0.9221116399826915,0.9190462065630653,0.9014675052410901,0.9366249078850405,0.9052631578947369,0.8391587483079443,0.8391373013675534,0.9625422338399077,0.9531640212864381,0.0621848925948143,1271,86,94,860,2,ResNet-50,resnet50
0.5,0.8994389296504101,0.9038528450440547,0.9284963196635121,0.8792093704245973,0.8834417208604303,0.7982837672262612,0.7953821785810801,0.9566946560067003,0.9199893126178934,0.07861144095659256,1201,165,68,883,3,ResNet-50,resnet50
0.5,0.9060052219321149,0.90478682644366,0.8977871443624869,0.9117865085248332,0.8875,0.8069569577534174,0.8068007108822117,0.96810071231002,0.9601707564254833,0.06994545459747314,1230,119,97,852,4,ResNet-50,resnet50
0.5,0.9038961038961039,0.894961270000441,0.8443743427970557,0.9455481972038263,0.8785557986870897,0.8010536457289213,0.7992582867315998,0.9676743198167144,0.954059347368456,0.0713898092508316,1285,74,148,803,5,ResNet-50,resnet50
