limiar,acuracia,acuracia_balanceada,sensibilidade_anormal,especificidade_normal,f1_anormal,mcc,kappa_cohen,roc_auc,pr_auc_precisao_media,brier_score,verdadeiros_normais,falsos_anormais,falsos_normais,verdadeiros_anormais,fold,modelo,arquitetura
0.5,0.9090513489991296,0.896682024051226,0.8252631578947368,0.9681008902077152,0.8823860438942037,0.8139920696939391,0.8088236581927088,0.9709183195377168,0.963725037825978,0.0771204680204391,1305,43,166,784,1,ConvNeXt-Tiny,convnext_tiny
0.5,0.9061012548680224,0.9116391596334869,0.9433962264150944,0.8798820928518791,0.8924144769459593,0.8132739559895611,0.8095437933403542,0.9737763966327252,0.9661641238501028,0.07025096565485,1194,163,54,900,2,ConvNeXt-Tiny,convnext_tiny
0.5,0.8964177816141562,0.9008114291344704,0.92534174553102,0.876281112737921,0.88,0.7922063694578748,0.7892680087403299,0.9616412868938145,0.9410647310137726,0.0766969248652458,1197,169,71,880,3,ConvNeXt-Tiny,convnext_tiny
0.5,0.9264577893820714,0.9262689999461022,0.9251844046364596,0.927353595255745,0.9122077922077922,0.8492043113868124,0.8489570247689602,0.9777238105578734,0.9733982295988444,0.0579284839332103,1251,98,71,878,4,ConvNeXt-Tiny,convnext_tiny
0.5,0.916017316017316,0.9103139950278898,0.8780231335436383,0.9426048565121412,0.8959227467811158,0.8260621452781225,0.82557990187264,0.9704342820268198,0.9591858640340616,0.0676186457276344,1281,78,116,835,5,ConvNeXt-Tiny,convnext_tiny
0.5,0.9303742384682332,0.9300858972356708,0.9284210526315788,0.9317507418397626,0.9168399168399168,0.8571729854894578,0.8569757020513842,0.9789052006871778,0.9690337798157944,0.053500011563301,1256,92,68,882,1,ResNet-50,resnet50
0.5,0.9221116399826916,0.9190462065630652,0.90146750524109,0.9366249078850404,0.9052631578947368,0.8391587483079443,0.8391373013675534,0.9625422338399076,0.953164021286438,0.0621848925948143,1271,86,94,860,2,ResNet-50,resnet50
0.5,0.8994389296504101,0.9038528450440548,0.928496319663512,0.8792093704245973,0.8834417208604303,0.7982837672262612,0.7953821785810801,0.9566946560067005,0.9199893126178934,0.0786114409565925,1201,165,68,883,3,ResNet-50,resnet50
0.5,0.9060052219321147,0.90478682644366,0.8977871443624869,0.9117865085248332,0.8875,0.8069569577534174,0.8068007108822117,0.96810071231002,0.9601707564254832,0.0699454545974731,1230,119,97,852,4,ResNet-50,resnet50
0.5,0.903896103896104,0.894961270000441,0.8443743427970557,0.9455481972038264,0.8785557986870897,0.8010536457289213,0.7992582867315998,0.9676743198167144,0.954059347368456,0.0713898092508316,1285,74,148,803,5,ResNet-50,resnet50
