,media,desvio_padrao,media_pm_dp
roc_auc,0.97089881912979,0.005932517137878368,0.9709 +/- 0.0059
pr_auc_precisao_media,0.9607075972645518,0.012125269538607516,0.9607 +/- 0.0121
acuracia_balanceada,0.9091431215586351,0.011462906601670325,0.9091 +/- 0.0115
sensibilidade_anormal,0.8994417336041899,0.04802788432459412,0.8994 +/- 0.0480
especificidade_normal,0.9188445095130803,0.03997768854607308,0.9188 +/- 0.0400
f1_anormal,0.8925862119658141,0.012831840563814822,0.8926 +/- 0.0128
mcc,0.8189477703612619,0.02084422141861366,0.8189 +/- 0.0208
kappa_cohen,0.8164344773829985,0.022275423628989575,0.8164 +/- 0.0223
brier_score,0.06992309764027593,0.007857729151882528,0.0699 +/- 0.0079
