,media,desvio_padrao,media_pm_dp
roc_auc,0.9667834245321041,0.008204226768843786,0.9668 +/- 0.0082
pr_auc_precisao_media,0.951283443502813,0.01860526547192654,0.9513 +/- 0.0186
acuracia_balanceada,0.9105466090573783,0.013918614390593002,0.9105 +/- 0.0139
sensibilidade_anormal,0.9001092729391447,0.03435476970211148,0.9001 +/- 0.0344
especificidade_normal,0.9209839451756119,0.02642760885496325,0.9210 +/- 0.0264
f1_anormal,0.8943201188564347,0.01612652131728694,0.8943 +/- 0.0161
mcc,0.8205252209012004,0.026211587413994392,0.8205 +/- 0.0262
kappa_cohen,0.8195108359227659,0.02712341918108012,0.8195 +/- 0.0271
brier_score,0.06712632179260254,0.009593316036060529,0.0671 +/- 0.0096
