Modelo,Fold,AUC ROC,AUC PR,Acc. bal.,Sensibilidade,Especificidade,F1,MCC,Brier
ConvNeXt-Tiny,1,"0,9709","0,9637","0,8967","0,8253","0,9681","0,8824","0,8140","0,0771"
ConvNeXt-Tiny,2,"0,9738","0,9662","0,9116","0,9434","0,8799","0,8924","0,8133","0,0703"
ConvNeXt-Tiny,3,"0,9616","0,9411","0,9008","0,9253","0,8763","0,8800","0,7922","0,0767"
ConvNeXt-Tiny,4,"0,9777","0,9734","0,9263","0,9252","0,9274","0,9122","0,8492","0,0579"
ConvNeXt-Tiny,5,"0,9704","0,9592","0,9103","0,8780","0,9426","0,8959","0,8261","0,0676"
